,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
64,80,75,55,135,s,1.0,1.0417458138581424,-1.0,1,12.044557977024418,green45,-1.0,504.47829478248605,-4.7517847828259869,0,0,497.63703475634247,1,red135
65,-80,75,55,135,f,1.0,1.7834108056413243,1.0,1,-29.972879398526398,red135,1.0,511.11129898323998,-4.7517847828259869,0,0,504.77134023528197,3,green135
66,-80,75,55,45,j,1.0,1.9750705945916707,-1.0,2,-29.972879398526398,green45,-1.0,518.2526013447532,-5.135273152756624,0,0,511.4100552925629,2,green45
67,80,75,55,45,f,1.0,2.0083755617997667,1.0,1,12.044557977024418,red45,1.0,525.39383443020415,5.135273152756624,0,0,518.54766350077989,0,red45
68,80,75,55,45,l,1.0,1.0917671240895288,1.0,2,9.091441911913579,green45,1.0,532.52681169026619,5.135273152756624,0,0,525.68497379340624,0,red45
69,-80,75,55,45,f,1.0,2.1000400546799938,1.0,1,-29.972879398526398,green45,1.0,539.67638584202723,-5.135273152756624,0,0,532.82269831699159,2,green45
70,80,75,55,45,s,1.0,0.80848161404719576,-1.0,1,9.091441911913579,green135,-1.0,546.30936467006177,-5.135273152756624,0,0,539.96876675775275,0,red45
71,80,75,55,45,l,1.0,1.3917250738013536,1.0,2,9.091441911913579,red45,1.0,553.45067301840027,5.135273152756624,0,0,546.60697550107579,0,red45
72,-80,75,55,135,j,1.0,1.908389388503565,-1.0,2,-27.462730743182185,green135,-1.0,560.58358442343524,-4.7517847828259869,0,0,553.7422722264273,3,green135
73,-80,75,55,45,j,0.0,1.7917131001595408,-1.0,2,-27.462730743182185,green45,1.0,567.72495862679352,5.0479189336553727,0,0,560.87840596629394,2,green45
74,80,75,55,135,l,1.0,2.2250462909505586,1.0,2,9.091441911913579,green135,1.0,574.85788086512548,4.7517847828259869,0,0,568.01565781615136,1,red135
75,-80,75,55,45,l,1.0,0.82513238712999737,1.0,2,-27.462730743182185,green45,1.0,581.99910539797565,5.135273152756624,0,0,575.15500590842203,2,green45
76,80,75,55,135,l,1.0,1.5167270337733498,1.0,2,9.091441911913579,red135,1.0,588.64038908631119,4.6644305637247356,0,0,582.29670083430756,1,red135
77,80,75,55,135,l,1.0,1.0084114827186568,1.0,2,9.091441911913579,red135,1.0,595.28178623915301,4.6644305637247356,0,0,588.93725356037612,1,red135
78,-80,75,55,135,l,1.0,0.96674919926226721,1.0,2,-27.462730743182185,red45,1.0,601.92308218621474,4.6644305637247356,0,0,595.57640052399074,3,green135
79,-80,75,55,45,s,1.0,0.88345599187960033,-1.0,1,-27.462730743182185,green45,-1.0,608.56433251941053,-5.135273152756624,0,0,602.22389568107974,2,green45
80,-80,75,55,45,f,1.0,1.2417372612580948,1.0,1,-27.462730743182185,green45,1.0,615.69732431889133,-5.135273152756624,0,0,608.85732523116894,2,green45
81,80,75,55,45,j,1.0,1.1167569678764266,-1.0,2,9.091441911913579,red45,-1.0,622.34691258244493,-5.135273152756624,0,0,616.00012572322885,0,red45
82,80,75,55,135,f,0.0,1.4584068500626017,1.0,1,9.091441911913579,red135,-1.0,629.48821009748644,-4.5770763446234843,0,0,622.64299477863824,1,red135
83,-80,75,55,45,s,1.0,0.80837698723189533,-1.0,1,-27.462730743182185,green45,-1.0,636.62950732744139,5.135273152756624,0,0,629.79018132938654,2,green45
84,80,75,55,45,f,0.0,2.2001023461198201,1.0,1,12.044557977024418,red135,-1.0,643.7708088336949,-5.135273152756624,0,0,636.9273550654907,0,red45
85,80,75,55,45,f,0.0,1.4334343965638254,1.0,1,14.997674042135257,red45,-1.0,650.41206800457803,-5.135273152756624,0,0,644.06977724751778,0,red45
86,80,75,55,135,s,1.0,0.77511905932988157,-1.0,1,17.950790107246096,red135,-1.0,657.55337606782996,4.5770763446234843,0,0,650.71268136858635,1,red135
87,-80,75,55,45,f,1.0,1.9666916117530491,1.0,1,-24.952582087837971,red45,1.0,664.1946885499201,-5.135273152756624,0,0,657.85609821806793,2,green45
88,-80,75,55,135,s,1.0,1.5417727545500384,-1.0,1,-24.952582087837971,green135,-1.0,671.33594985895252,4.5770763446234843,0,0,664.49215341655145,3,green135
89,-80,75,55,135,f,1.0,2.7083218229563499,1.0,1,-24.952582087837971,green135,1.0,678.47723625561412,4.5770763446234843,0,0,671.63652616169202,3,green135
90,-80,75,55,45,s,1.0,0.8750975352813839,-1.0,1,-22.442433432493758,green135,-1.0,685.11854417632276,-5.135273152756624,0,0,678.77297036096206,2,green45
91,80,75,55,135,l,1.0,0.95007476398313884,1.0,2,17.950790107246096,red135,1.0,692.26817734102588,4.5770763446234843,0,0,685.42560278016754,1,red135
92,-80,75,55,135,j,0.0,1.5584511810411641,-1.0,2,-22.442433432493758,red45,1.0,698.90946787144276,4.5770763446234843,0,0,692.56817491778929,3,green135
93,-80,75,55,45,f,1.0,0.81681127688716515,1.0,1,-22.442433432493758,red135,1.0,706.05910360192865,-5.135273152756624,0,0,699.21656040060407,2,green45
94,-80,75,55,45,f,1.0,1.275093829157413,1.0,1,-22.442433432493758,red45,1.0,713.20871338952566,5.135273152756624,0,0,706.36603163606924,2,green45
95,-80,75,55,135,j,1.0,1.4250545584654901,-1.0,2,-19.932284777149544,green45,-1.0,719.84999907346719,-4.6644305637247356,0,0,713.50982537015079,3,green135
96,-80,75,55,45,j,1.0,0.86673765325031127,-1.0,2,-19.932284777149544,red45,-1.0,726.49972360845641,-5.135273152756624,0,0,720.15365687821759,2,green45
97,80,75,55,45,f,1.0,2.4917103918378416,1.0,1,17.950790107246096,red45,1.0,733.14096595922456,5.0610220665205601,0,0,726.80148387621011,0,red45
98,80,75,55,45,f,0.0,2.6333403179596644,1.0,1,17.950790107246096,red45,-1.0,739.79060610855231,-5.0610220665205601,0,0,733.44518281896671,0,red45
99,80,75,55,45,l,1.0,0.88343974194140173,1.0,2,20.46093876259031,red45,1.0,746.93186998336751,5.0610220665205601,0,0,740.0928242255286,0,red45
